Row Labels,Sum of SrcWgtAvgGoldstein,Sum of SrcWeightAvgTone
1/1/2013,0.000,0.000
1/6/2013,-2.000,-4.206
1/7/2013,1.500,3.562
1/9/2013,8.000,-1.538
1/19/2013,-4.000,-3.812
1/21/2013,3.000,2.204
1/22/2013,3.000,2.198
1/26/2013,1.667,5.275
2/14/2013,1.900,-1.532
2/19/2013,0.000,6.367
3/1/2013,0.000,-5.383
3/5/2013,1.900,-0.231
3/12/2013,5.000,-0.955
3/16/2013,7.000,1.351
3/18/2013,-4.000,-1.748
3/19/2013,3.400,2.036
3/20/2013,3.000,-4.724
3/21/2013,7.000,2.556
3/26/2013,-9.500,-5.581
3/29/2013,7.000,-3.137
3/31/2013,3.400,5.330
4/5/2013,-4.000,1.622
4/8/2013,7.000,-3.387
4/13/2013,1.500,-1.760
4/14/2013,8.000,1.111
4/16/2013,5.000,-0.535
4/17/2013,2.133,0.076
4/20/2013,8.000,1.149
4/21/2013,1.000,-4.127
4/23/2013,3.400,2.362
4/25/2013,-2.000,-8.556
4/26/2013,-2.000,-8.889
4/28/2013,-2.000,1.653
5/1/2013,7.000,-1.653
5/12/2013,0.000,0.305
5/13/2013,0.000,0.242
5/15/2013,7.000,-3.354
5/16/2013,0.000,-8.163
5/21/2013,5.667,0.382
5/24/2013,7.000,2.326
5/28/2013,4.500,-1.588
5/29/2013,3.400,4.167
6/5/2013,0.280,-1.011
6/6/2013,3.400,4.556
6/7/2013,-6.500,-1.630
6/8/2013,-6.500,-0.325
6/10/2013,0.000,3.960
6/11/2013,3.400,0.000
6/14/2013,0.400,-3.261
6/15/2013,2.080,4.851
6/20/2013,3.700,-2.178
6/28/2013,3.400,4.242
7/2/2013,3.400,3.008
7/4/2013,3.400,4.240
7/5/2013,3.400,4.240
7/6/2013,0.720,0.566
7/7/2013,1.000,2.498
7/8/2013,1.567,1.119
7/15/2013,-4.000,2.972
7/16/2013,0.000,-5.645
7/18/2013,2.700,-0.915
7/20/2013,-10.000,-2.745
7/21/2013,7.000,-5.707
7/22/2013,3.400,4.795
7/27/2013,0.000,-9.489
7/29/2013,-2.000,-2.666
7/30/2013,6.400,0.000
8/2/2013,6.400,0.000
8/19/2013,7.400,2.152
8/20/2013,-5.000,0.735
8/23/2013,3.000,-4.366
8/24/2013,-5.000,4.857
8/29/2013,0.000,1.775
8/30/2013,0.000,1.775
