Date,SP500%ChgD,SrcWgtAvgTone,SrcWgtGoldScore,AvgTone_30D_Corr,AvgTone_60D_Corr,AvgTone_90D_Corr,Goldstein_30D_Corr,Goldstein_60D_Corr,Goldstein_90D_Corr,-1AvgTone_30D_Corr,-1AvgTone_60D_Corr,-1AvgTone_90D_Corr,-1Goldstein_30D_Corr,-1Goldstein_60D_Corr,-1Goldstein_90D_Corr,+1AvgTone_30D_Corr,+1AvgTone_60D_Corr,+1AvgTone_90D_Corr,+1Goldstein_30D_Corr,+1Goldstein_60D_Corr,+1Goldstein_90D_Corr,-3AvgTone_30D_Corr,-3AvgTone_60D_Corr,-3AvgTone_90D_Corr,-3Goldstein_30D_Corr,-3Goldstein_60D_Corr,-3Goldstein_90D_Corr,+3AvgTone_30D_Corr,+3AvgTone_60D_Corr,+3AvgTone_90D_Corr,+3Goldstein_30D_Corr,+3Goldstein_60D_Corr,+3Goldstein_90D_Corr,-7AvgTone_30D_Corr,-7AvgTone_60D_Corr,-7AvgTone_90D_Corr,-7Goldstein_30D_Corr,-7Goldstein_60D_Corr,-7Goldstein_90D_Corr,+71AvgTone_30D_Corr,+71AvgTone_60D_Corr,+71AvgTone_90D_Corr,+71Goldstein_30D_Corr,+71Goldstein_60D_Corr,+71Goldstein_90D_Corr
2/1/2013,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/1/2013,-0.208561749,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/1/2013,0.486509632,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/1/2013,-0.312311615,3.56,1.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/1/2013,-0.32423713,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/1/2013,0.265586594,-1.54,8.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/1/2013,0.759741512,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/1/2013,-0.004751399,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14/1/2013,-0.093067156,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/1/2013,0.112866976,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/1/2013,0.019699191,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/1/2013,0.564292218,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/1/2013,0.34032704,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/1/2013,0.442810685,2.20,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/1/2013,0.150747703,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/1/2013,0.000661468,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/1/2013,0.544548169,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/1/2013,-0.184962161,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/1/2013,0.510599517,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/1/2013,-0.389962132,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/1/2013,-0.256330108,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/2/2013,1.005270557,0.00,0.00,-0.16,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/2/2013,-1.153874482,0.00,0.00,-0.10,,,0.09,,,-0.265698035,,,0.257940756,,,0.302358351,,,0.302358351,,,,,,,,,,,,,,,,,,,,,,,,,,
5/2/2013,1.041651024,0.00,0.00,-0.12,,,0.05,,,-0.262150467,,,0.209983122,,,0.267968242,,,0.267968242,,,,,,,,,,,,,,,,,,,,,,,,,,
6/2/2013,0.05491706,0.00,0.00,-0.11,,,0.06,,,-0.256476216,,,0.224885884,,,0.226229157,,,0.226229157,,,0.340670777,,,5.47736E-05,,,-0.177532766,,,-0.177532766,,,,,,,,,,,,,,
7/2/2013,-0.180539936,0.00,0.00,0.08,,,0.10,,,-0.261518919,,,0.223119597,,,0.186577542,,,0.186577542,,,0.34324315,,,0.010373067,,,-0.132832827,,,-0.132832827,,,,,,,,,,,,,,
8/2/2013,0.565794061,0.00,0.00,0.07,,,0.07,,,-0.158092695,,,0.239989804,,,0.187758015,,,0.187758015,,,0.32872637,,,-0.016552655,,,-0.12983189,,,-0.12983189,,,,,,,,,,,,,,
11/2/2013,-0.060611748,0.00,0.00,0.12,,,0.12,,,-0.15572187,,,0.247533613,,,0.069149114,,,0.069149114,,,0.33341792,,,-0.006621797,,,-0.05362413,,,-0.05362413,,,,,,,,,,,,,,
12/2/2013,0.159527223,0.00,0.00,0.14,,,0.14,,,0.002684031,,,0.002684031,,,0.075471574,,,0.075471574,,,0.211275037,,,-0.039069245,,,-0.056830513,,,-0.056830513,,,-0.173363496,,,-0.173363496,,,-0.173363496,,,0.004527487,,
13/2/2013,0.059226309,0.00,0.00,0.14,,,0.14,,,0.001332272,,,0.001332272,,,0.090943174,,,0.090943174,,,0.211282776,,,-0.040904813,,,-0.075538077,,,-0.075538077,,,-0.171180578,,,-0.171180578,,,-0.171180578,,,0.007424882,,
14/2/2013,0.069067167,-1.53,1.90,0.13,,,0.09,,,-0.002115835,,,-0.002115835,,,0.095152206,,,0.095152206,,,0.182528057,,,0.182528057,,,0.003513883,,,0.003513883,,,-0.175394304,,,-0.175394304,,,-0.175394304,,,0.002354058,,
15/2/2013,-0.104508132,0.00,0.00,0.13,,,0.10,,,0.067122792,,,-0.061502444,,,0.094839914,,,0.094839914,,,0.185925523,,,0.185925523,,,0.006731925,,,0.006731925,,,-0.169889882,,,-0.169889882,,,-0.169889882,,,0.009147035,,
19/2/2013,0.733647547,6.37,0.00,0.28,,,0.08,,,0.061520477,,,-0.080309732,,,-0.06954979,,,-0.06954979,,,0.165624472,,,0.165624472,,,-0.035595586,,,-0.035595586,,,-0.198347272,,,-0.198347272,,,-0.198347272,,,-0.000135534,,
20/2/2013,-1.240413796,0.00,0.00,0.28,,,0.11,,,-0.457840857,,,-0.024287868,,,-0.082373973,,,-0.082373973,,,0.433205068,,,-0.134257151,,,-0.039314374,,,-0.039314374,,,-0.164026091,,,-0.164026091,,,-0.164026091,,,0.041847161,,
21/2/2013,-0.630305733,0.00,0.00,0.28,,,0.13,,,-0.427216536,,,4.8679E-05,,,-0.038636346,,,-0.038636346,,,0.42444395,,,-0.106662914,,,-0.034365094,,,-0.034365094,,,-0.116886555,,,-0.116886555,,,-0.116886555,,,-0.116886555,,
22/2/2013,0.877246792,0.00,0.00,0.23,,,0.00,,,-0.420097292,,,-0.010164817,,,-0.057675633,,,-0.057675633,,,0.43452986,,,-0.113255431,,,-0.026601072,,,-0.026601072,,,-0.120159844,,,-0.120159844,,,-0.120159844,,,-0.120159844,,
